Property_Name,Building_Name,Street_No_From,Street_name,Latitude,Longitude,PLN_AREA_N,PLN_AREA_C,REGION_N
Concorde Shopping Centre,Concorde Shopping Centre,317,Outram Road,1.288994,103.83411,BUKIT MERAH,BM,Central
Solaris @ Kallang 164 West Wing,Solaris @ Kallang 164 West Wing,164,Kallang Way,1.3237641,103.8756752,GEYLANG,GL,Central
Solaris @ Kallang 164 East Wing,Solaris @ Kallang 164 East Wing,164,Kallang Way,1.3237641,103.8756752,GEYLANG,GL,Central
Tai Seng Centre,Tai Seng Centre,3,Irving Road,1.335764,103.886908,TOA PAYOH,TP,Central
118 Joo Chiat,118 Joo Chiat,118,Joo Chiat Road,1.313845,103.899019,GEYLANG,GL,Central
198 Geylang Road,198 Geylang Road,198,Geylang Road,1.311693,103.8762,GEYLANG,GL,Central
Ascent 5,Ascent 5,5,Science Park Drive,1.29207905,103.7867106,QUEENSTOWN,QT,Central
138 Depot Road,138 Depot Road,138,Depot Road,1.283046,103.808153,BUKIT MERAH,BM,Central
115A Commonwealth Drive,115A Commonwealth Drive,115A,Commonwealth Drive,1.304845,103.798057,QUEENSTOWN,QT,Central
1003 Bukit Merah Central,1003 Bukit Merah Central,1003,Bukit Merah Central ,1.283464,103.814086,BUKIT MERAH,BM,Central
457 MacPherson Road,457 MacPherson Road,457,Macpherson Road,1.332511,103.882882,TOA PAYOH,TP,Central
587 Geylang Road,587 Geylang Road,587,Geylang Road,1.314071,103.886418,GEYLANG,GL,Central
81 Joo Chiat Road,81 Joo Chiat Road,81,Joo Chiat Road,1.314317,103.899076,GEYLANG,GL,Central
Four Star Building,Four Star Building,44,Kallang Place,1.313859,103.868321,KALLANG,KL,Central
Zhaolim Building,Zhaolim Building,115,Eunos Avenue 3,1.319486,103.897502,GEYLANG,GL,Central
2 Soon Wing Road,2 Soon Wing Road,2,Soon Wing Road,1.32758,103.879571,GEYLANG,GL,Central
100 Eunos Ave 7,100 Eunos Ave 7,100,Eunos Avenue 7,1.323161,103.897643,GEYLANG,GL,Central
Toa Payoh North 2,Toa Payoh North 2,1004,Toa Payoh North,1.343186,103.847203,TOA PAYOH,TP,Central
3014A Ubi Road 1,3014A Ubi Road 1,3014A,Ubi Road 1,1.329531,103.893452,GEYLANG,GL,Central
3015A Ubi Road 1,3015A Ubi Road 1,3015A,Ubi Road 1,1.328662,103.893005,GEYLANG,GL,Central
LHK Building,LHK Building,701,Sims Drive,1.318328,103.877217,GEYLANG,GL,Central
440 Pasir Panjang Road,440 Pasir Panjang Road,440,Pasir Panjang Road,1.292496,103.768427,QUEENSTOWN,QT,Central
7 Playfair Road,7 Playfair Road,7,Playfair Road,1.333583,103.88642,TOA PAYOH,TP,Central
Genting Building,Genting Building,83,Genting Lane,1.326726,103.876504,GEYLANG,GL,Central
352 Tanglin Road,352 Tanglin Road,352,Tanglin Road,1.295299,103.814697,QUEENSTOWN,QT,Central
FM Global Centre,FM Global Centre,288,Pasir Panjang,1.286366,103.7805369,QUEENSTOWN,QT,Central
Jackson Square Block D,Jackson Square Block D,11,Lorong 3 Toa Payoh,1.3373513,103.8484945,TOA PAYOH,TP,Central
351 On Braddell,351 On Braddell,351,Braddell Road,1.343413165,103.845619,TOA PAYOH,TP,Central
East Coast Road,162,162,East Coast Road,1.3064352,103.9060579,MARINE PARADE,MP,Central
East Coast Road,164,164,East Coast Road,1.306465,103.906083,MARINE PARADE,MP,Central
B-Central,B-Central,994,Bendemeer Road,1.319769,103.865109,KALLANG,KL,Central
Victory Centre,Victory Centre,110,Lorong 23 Geylang,1.318276,103.881322,GEYLANG,GL,Central
14 Little Road,14 Little Road,14,Little Road,1.338491,103.884708,TOA PAYOH,TP,Central
767 Geylang Road,767 Geylang Road,767,Geylang Road,1.315057,103.89118,GEYLANG,GL,Central
Cideco Industrial Complex,Cideco Industrial Complex,50,Genting Lane,1.327593,103.873665,GEYLANG,GL,Central
City Industrial Building,City Industrial Building,71,Tannery Lane,1.326976,103.879122,GEYLANG,GL,Central
Citilink Warehouse Complex ,Citilink Warehouse Complex ,102E,Pasir Panjang Road,1.276002,103.79531,QUEENSTOWN,QT,Central
Citilink Warehouse Complex ,Citilink Warehouse Complex ,,Pasir Panjang Road,1.2760261,103.7953335,QUEENSTOWN,QT,Central
Edward Boustead Centre,Edward Boustead Centre,82,Ubi Avenue 4,1.332917,103.892317,GEYLANG,GL,Central
Geylang Post Office,Geylang Post Office,447,Geylang Road,1.313279,103.882278,GEYLANG,GL,Central
Tanjong Katong Complex,Tanjong Katong Complex,845,Geylang Road,1.316221,103.894387,GEYLANG,GL,Central
Tanjong Pagar Distripark,37,37,Keppel Road,1.271904,103.838298,BUKIT MERAH,BM,Central
Tanjong Pagar Distripark,39,39,Keppel Road,1.271912,103.836694,BUKIT MERAH,BM,Central
Brilliant Building,Brilliant Building,136,Joo Seng Road,1.337701,103.884054,TOA PAYOH,TP,Central
20 Joo Chiat Road,20 Joo Chiat Road,20,Joo Chiat Road,1.315666,103.897739,GEYLANG,GL,Central
600 Geylang Road ,600 Geylang Road ,600,Geylang Road,1.314086,103.888029,GEYLANG,GL,Central
602 Geylang Road,602 Geylang Road,602,Geylang Road,1.3141,103.88806,GEYLANG,GL,Central
604 Geylang Road,604 Geylang Road,604,Geylang Road,1.314109,103.888115,GEYLANG,GL,Central
606 Geylang Road,606 Geylang Road,606,Geylang Road,1.314098,103.888185,GEYLANG,GL,Central
Kallang Place,7 Kallang Place,7,Kallang Place,1.3168419,103.8673686,KALLANG,KL,Central
Kallang Place,11 Kallang Place,11,Kallang Place,1.3153431,103.8683213,KALLANG,KL,Central
Kallang Place,9 Kallang Place,9,Kallang Place,1.316191,103.868304,KALLANG,KL,Central
Kallang Place,16 Kallang Place,16,Kallang Place,1.3166646,103.8662707,KALLANG,KL,Central
587 Geylang Road,587 Geylang Road,587,Geylang Road,1.314071,103.886418,GEYLANG,GL,Central
22 Sam Leong Road,22 Sam Leong Road,22,Sampan Place,1.3095182,103.8569463,KALLANG,KL,Central
International Press Building,International Press Building,26,Kallang Avenue ,1.31023,103.867363,KALLANG,KL,Central
Centrium Square,Centrium Square,320,Serangoon Road,1.310913,103.855198,KALLANG,KL,Central
Isetan Office Building,Isetan Office Building,593,Havelock Road,1.289307,103.83212,BUKIT MERAH,BM,Central
896 Dunearn Road,896 Dunearn Road,896,Dunearn Road,1.336601,103.783726,BUKIT TIMAH,BT,Central
Bukit Timah Shopping Centre,Bukit Timah Shopping Centre,170,Bukit Timah Road,1.311507,103.842699,NOVENA,NV,Central
325/327 Geylang Road,325/327 Geylang Road,325,Geylang Road,1.312777,103.879409,GEYLANG,GL,Central
62 Koon Seng Road,62 Koon Seng Road,62,Kovan Road,1.3112397,103.9040816,MARINE PARADE,MP,Central
HH @ Kallang,HH @ Kallang,56,Kallang Pudding Road,1.328072,103.878916,GEYLANG,GL,Central
Ruby Land Complex,Ruby Land Complex,54,Genting Lane,1.326791,103.874428,GEYLANG,GL,Central
271 Jalan Besar,271 Jalan Besar,271,Jalan Besar,1.310519,103.858405,KALLANG,KL,Central
174/176 East Coast Road,174/176 East Coast Road,174,East Coast Road,1.306656,103.906315,MARINE PARADE,MP,Central
331 Geylang Road,331 Geylang Road,331,Geylang Road,1.312805,103.879568,GEYLANG,GL,Central
333 Geylang Road,333 Geylang Road,333,Geylang Road,1.31286,103.879593,GEYLANG,GL,Central
600/A Serangoon Road,To Rename,,Serangoon Road,1.3152568,103.8584258,KALLANG,KL,Central
221 Lavender Street,221 Lavender Street,221,Lavender Street,1.314662,103.859593,KALLANG,KL,Central
223 Lavender Street,223 Lavender Street,223,Lavender Street,1.314682,103.85954,KALLANG,KL,Central
598 Serangoon Road,598 Serangoon Road,598,Serangoon Road,1.315205,103.8584,KALLANG,KL,Central
233 Lavender Street,233 Lavender Street,233,Lavender Street,1.314874,103.859408,KALLANG,KL,Central
267 Lavender Street,267 Lavender Street,267,Lavender Street,1.315468,103.858941,KALLANG,KL,Central
255 Lavender Street,255 Lavender Street,255,Lavender Street,1.315293,103.859112,KALLANG,KL,Central
253 Lavender Street,253 Lavender Street,253,Lavender Street,1.315277,103.859126,KALLANG,KL,Central
245 Lavender Street,245 Lavender Street,245,Lavender Street,1.315106,103.859228,KALLANG,KL,Central
136 Joo Seng Road,136 Joo Seng Road,136,Joo Seng Road,1.337701,103.884054,TOA PAYOH,TP,Central
One Holland Village,One Holland Village,4,Holland Road,1.3123558,103.7935919,QUEENSTOWN,QT,Central
21 Depot Lane,21 Depot Lane ,21,Depot Lane,1.281831,103.811439,BUKIT MERAH,BM,Central
25 Depot Lane,25 Depot Lane,25,Depot Lane,1.282577,103.810579,BUKIT MERAH,BM,Central
WBL Building,WBL Building,801,Lorong 7 Toa Payoh,1.334919,103.858495,TOA PAYOH,TP,Central
257 Lavender Street,257 Lavender Street,257,Lavender Street,1.31534,103.859138,KALLANG,KL,Central
594 Serangoon Road,594 Serangoon Road,594,Serangoon Road,1.315109,103.858297,KALLANG,KL,Central
612 Serangoon Road,612 Serangoon Road,612,Serangoon Road,1.315507,103.858601,KALLANG,KL,Central
Midview City,Midview City,18,Sin Ming Lane,1.3595,103.834366,BISHAN,BS,Central
Kallang Place,26 Kallang Place,26,Kallang Place,1.315402,103.867512,KALLANG,KL,Central
28 Kallang Place,28 Kallang Place,28,Kallang Place,1.315069,103.86696,KALLANG,KL,Central
127 Joo Chiat Road,127 Joo Chiat Road,127,Joo Chiat Road,1.313505,103.89966,GEYLANG,GL,Central
43 Keppel Road,43 Keppel Road,43,Keppel Road,1.271908,103.833196,BUKIT MERAH,BM,Central
231 Lavender Street,231 Lavender Street,231,Lavender Street,1.314818,103.859428,KALLANG,KL,Central
241 Lavender Street,241 Lavender Street,241,Lavender Street,1.315018,103.859307,KALLANG,KL,Central
259 Lavender Street,259 Lavender Street,259,Lavender Street,1.315367,103.859108,KALLANG,KL,Central
620 Serangoon Road,620 Serangoon Road,620,Serangoon Road,1.315598,103.8587,KALLANG,KL,Central
1 Depot Close,1 Depot Close,1,Depot Close,1.282187,103.805049,BUKIT MERAH,BM,Central
PARKROYAL on Kitchener Road,PARKROYAL on Kitchener Road,181,Kitchener Road,1.310536,103.855603,KALLANG,KL,Central
Ubi Techpark,Ubi Techpark,50,Ubi Crescent,1.327291,103.896305,GEYLANG,GL,Central
Spaze,Spaze,202,Kallang Bahru,1.315976,103.865327,KALLANG,KL,Central
5 Toa Payoh West ,5 Toa Payoh West ,5,Toa Payoh West,1.335127,103.841514,TOA PAYOH,TP,Central
239 Lavender Street,239 Lavender Street,239,Lavender Street,1.314999,103.859322,KALLANG,KL,Central
158 East Coast Road,158 East Coast Road,158,East Coast Road,1.306387,103.905985,MARINE PARADE,MP,Central
WestWay,WestWay,27,West Coast Highway,1.2831067,103.7804923,QUEENSTOWN,QT,Central
452 Alexandra Road,452 Alexandra Road,452,Alexandra Road,1.276804,103.800909,QUEENSTOWN,QT,Central
Siemens Centre - Tower Block,Siemens Centre - Tower Block,60,Macpherson Road,1.327442,103.870747,GEYLANG,GL,Central
247 Lavender Street,247 Lavender Street,247,Lavender Street,1.315155,103.85917,KALLANG,KL,Central
25A Depot Lane,25A Depot Lane,25A,Depot Lane,1.282778,103.809866,BUKIT MERAH,BM,Central
71 Lorong 23 Geylang,71 Lorong 23 Geylang,71,Lorong 23 Geylang,1.31626,103.880863,GEYLANG,GL,Central
Kinex,Kinex,11,Tanjong Katong Road,1.314791,103.894536,GEYLANG,GL,Central
Singapore Handicrafts Building,Singapore Handicrafts Building,72,Eunos Avenue 7,1.323353,103.898507,GEYLANG,GL,Central
Braddell Tech,Braddell Tech,13,Lorong 8 Toa Payoh,1.340655,103.857756,TOA PAYOH,TP,Central
14 Geylang Road,14 Geylang Road,14,Geylang Road,1.31007,103.871138,KALLANG,KL,Central
119 @ Genting,119 @ Genting,119,Genting Lane,1.324876,103.878196,GEYLANG,GL,Central
170 East Coast Road,170 East Coast Road,170,East Coast Road,1.306533,103.906195,MARINE PARADE,MP,Central
24 Depot Lane,24 Depot Lane,24,Depot Lane,1.282143,103.810845,BUKIT MERAH,BM,Central
23 Depot Lane,23 Depot Lane,23,Depot Lane,1.281996,103.810475,BUKIT MERAH,BM,Central
HDB Hub Toa Payoh - Blk 490,HDB Hub Toa Payoh - Blk 490,490,Lorong 6 Toa Payoh,1.332573,103.848417,TOA PAYOH,TP,Central
20 Depot Lane,20 Depot Lane,20,Depot Lane,1.28176,103.812056,BUKIT MERAH,BM,Central
Connection One - Blk 167,Connection One - Blk 167,167,Jalan Bukit Merah,1.282743,103.818536,BUKIT MERAH,BM,Central
Connection One - Blk 168,Connection One - Blk 168,168,Jalan Bukit Merah,1.282933,103.818557,BUKIT MERAH,BM,Central
217 Henderson Road,217 Henderson Road,217,Henderson Road,1.280637,103.819537,BUKIT MERAH,BM,Central
161 Kallang Way,161 Kallang Way,161,Kallang Way,1.322229,103.874908,GEYLANG,GL,Central
TRION,TRION,17,Kallang Junction,1.313781,103.865587,KALLANG,KL,Central
Oasis,Oasis,87,Science Park Drive,1.287718,103.790409,QUEENSTOWN,QT,Central
Science Park I,Science Park I Building 1,,Science Park 1,1.2879795,103.7913371,QUEENSTOWN,QT,Central
Science Park I,Science Park I Building 2,,Science Park 1,1.2879795,103.7913371,QUEENSTOWN,QT,Central
Science Park I,Science Park I Building 3,,Science Park 1,1.2879795,103.7913371,QUEENSTOWN,QT,Central
1 Genting Lane,1 Genting Lane,1,Genting Lane,1.328843,103.873286,GEYLANG,GL,Central
St James Power Station,St James Power Station,3,Sentosa Gateway,1.264703,103.824901,BUKIT MERAH,BM,Central
160 Kallang Way,160 Kallang Way ESR-LOGOS REIT,160,Kallang Way,1.322858,103.875798,GEYLANG,GL,Central
Science Park I,Science Park I Building 4,,Science Park 1,1.2879795,103.7913371,QUEENSTOWN,QT,Central
Beauty World Plaza,Beauty World Plaza,140,Upper Bukit Timah Road,1.341736,103.776244,BUKIT TIMAH,BT,Central
"7 SPD, 7 Science Park Drive",7 Science Park Drive,7,Science Park Drive,1.290951,103.787194,QUEENSTOWN,QT,Central
10 Craig Road,10 Craig Road,10,Craig Road,1.277665,103.842757,OUTRAM,OT,Central
Harbourllink Innohub,61 Alexandra Terrace (Annex),61,Alexandra Terrace,1.277465,103.797724,QUEENSTOWN,QT,Central
Harbourllink Innohub,63 Alexandra Terrace (Main),63,Alexandra Terrace,1.276899,103.797801,QUEENSTOWN,QT,Central
165 Kallang Way,165 Kallang Way,165,Kallang Way,1.32248119,103.8748183,GEYLANG,GL,Central
245 Jalan Besar,245 Jalan Besar,245,Jalan Besar,1.309809,103.858009,KALLANG,KL,Central
