Property_Name,Building_Name,Street_No_From,Street_name,Latitude,Longitude,PLN_AREA_N,PLN_AREA_C,REGION_N
Union Industrial Building,Block B,37,Jalan Pemimpin,1.348842,103.841003,BISHAN,BS,Central
50 MacPherson Road,50 MacPherson Road,50,Macpherson Road,1.327944,103.870273,GEYLANG,GL,Central
Platinum 28,Platinum 28,28,Genting Lane,1.328221,103.873135,GEYLANG,GL,Central
100 Pasir Panjang Road,100 Pasir Panjang Road,100,Pasir Panjang,1.2754291,103.7957608,QUEENSTOWN,QT,Central
991B Alexandra Road,991B Alexandra Road,991B,Alexandra Road,1.273909,103.803397,BUKIT MERAH,BM,Central
991 Alexandra Road Block 1,991 Alexandra Road Block 1,991,Alexandra Road,1.2744196,103.8029119,BUKIT MERAH,BM,Central
HSR Building,HSR Building,16,Lorong 7 Toa Payoh,1.337373,103.855535,TOA PAYOH,TP,Central
Golden Agri Plaza,Golden Agri Plaza,108,Pasir Panjang Road,1.276616,103.794408,QUEENSTOWN,QT,Central
15 Commonwealth Avenue,15 Commonwealth Avenue,15,Commonwealth Lane,1.305951,103.797095,QUEENSTOWN,QT,Central
Mountbatten Centre - Block A,Mountbatten Centre - Block A,231,Mountbatten Road,1.3080999,103.8808951,GEYLANG,GL,Central
700 Beach Road,700 Beach Road,700,Beach Road,1.302407,103.864202,DOWNTOWN CORE,DT,Central
Mountbatten Centre - Block B,Mountbatten Centre - Block B,231,Mountbatten Road,1.3080999,103.8808951,GEYLANG,GL,Central
Mountbatten Centre - Block C,Mountbatten Centre - Block C,231,Mountbatten Road,1.3080999,103.8808951,GEYLANG,GL,Central
Mountbatten Centre - Block D,Mountbatten Centre - Block D,231,Mountbatten Road,1.3080999,103.8808951,GEYLANG,GL,Central
Mountbatten Centre - Block F,Mountbatten Centre - Block F,231,Mountbatten Road,1.3080999,103.8808951,GEYLANG,GL,Central
Mountbatten Centre - Block G,Mountbatten Centre - Block G,231,Mountbatten Road,1.3080999,103.8808951,GEYLANG,GL,Central
The Kendall,The Kendall,50,Science Park Road,1.285917,103.783518,QUEENSTOWN,QT,Central
The Sail @ Marina Bay,The Sail - Tower One,2,Marina Boulevard,1.2807695,103.8526586,DOWNTOWN CORE,DT,Central
The Sail @ Marina Bay,The Sail - Tower Two,2,Marina Boulevard,1.2807695,103.8526586,DOWNTOWN CORE,DT,Central
Starhub Green - North Tower,Starhub Green - North Tower,67,Ubi Avenue 1,1.3242766,103.8927748,GEYLANG,GL,Central
991F Alexandra Road,991F Alexandra Road,991F,Alexandra Road,1.273603,103.803617,BUKIT MERAH,BM,Central
City Square Mall,City Square Mall,180,Kitchener Road,1.311445,103.85666,KALLANG,KL,Central
Kallang Distripark,Kallang Distripark,1801,Geylang Bahru,1.318707,103.871325,KALLANG,KL,Central
Tat Ann Building,Tat Ann Building,40,Jalan Pemimpin,1.34861,103.842147,BISHAN,BS,Central
Tan Boon Liat Building,Tan Boon Liat Building,313,Outram Road,1.287203,103.834611,BUKIT MERAH,BM,Central
Leong Huat Building,Leong Huat Building,6,Harper Road,1.335134,103.887485,TOA PAYOH,TP,Central
2 Bukit Merah Central,2 Bukit Merah Central,2,Bukit Merah Central ,1.284054,103.813745,BUKIT MERAH,BM,Central
Henson Warehouse,143,135,Ubi Avenue 4,1.335661,103.895196,GEYLANG,GL,Central
1079 Eunos Avenue 7,1079 Eunos Avenue 7,1079,Eunos Avenue 7,1.322197,103.894334,GEYLANG,GL,Central
Bosch Building,Bosch Building,38C ,Jalan Pemimpin,1.347713,103.842081,BISHAN,BS,Central
Bosch Singapore Regional HQ,Bosch Singapore Regional HQ,11,Bishan Street 21,1.347633,103.84121,BISHAN,BS,Central
10 Ubi Techpark,10 Ubi Techpark,10,Ubi Crescent,1.3262753,103.8961307,GEYLANG,GL,Central
